impl,seq_len,embed_dim,dtype,forward_ms,backward_ms,end2end_ms,error
Triton,128,16,torch.bfloat16,0.05927259847521782,0.49789950251579285,0.488882839679718,
Torch,128,16,torch.bfloat16,0.10258972644805908,0.5426027178764343,0.5373848080635071,
Triton,128,16,torch.float32,0.058805909007787704,0.4718189835548401,0.47559067606925964,
Torch,128,16,torch.float32,0.10262630134820938,0.5199819207191467,0.5206188559532166,
Triton,128,32,torch.bfloat16,0.05902939662337303,0.4946102201938629,0.49241381883621216,
Torch,128,32,torch.bfloat16,0.10289859026670456,0.5437645316123962,0.5447849631309509,
Triton,128,32,torch.float32,0.05819687992334366,0.4723559319972992,0.4706268012523651,
Torch,128,32,torch.float32,0.10146937519311905,0.5222281217575073,0.5235620737075806,
Triton,128,64,torch.bfloat16,0.05910833179950714,0.49140629172325134,0.4908719062805176,
Torch,128,64,torch.bfloat16,0.10331996530294418,0.5458014011383057,0.5409799814224243,
Triton,128,64,torch.float32,0.05850476771593094,0.4692140221595764,0.46908435225486755,
Torch,128,64,torch.float32,0.10285507142543793,0.5212559103965759,0.5238151550292969,
Triton,128,128,torch.bfloat16,0.05936327576637268,0.49267178773880005,0.4919612407684326,
Torch,128,128,torch.bfloat16,0.10251535475254059,0.5432016849517822,0.5415844321250916,
Triton,128,128,torch.float32,0.05938677117228508,0.4713301956653595,0.47245046496391296,
Torch,128,128,torch.float32,0.10381708294153214,0.5221933722496033,0.5231375694274902,
Triton,256,16,torch.bfloat16,0.05925814062356949,0.4928789436817169,0.49121445417404175,
Torch,256,16,torch.bfloat16,0.10307537764310837,0.5447290539741516,0.5402246117591858,
Triton,256,16,torch.float32,0.05893656611442566,0.47130921483039856,0.47144877910614014,
Torch,256,16,torch.float32,0.10218056291341782,0.5247836709022522,0.5241891145706177,
Triton,256,32,torch.bfloat16,0.05910108983516693,0.4938211441040039,0.492608904838562,
Torch,256,32,torch.bfloat16,0.10283992439508438,0.5442925691604614,0.5433769226074219,
Triton,256,32,torch.float32,0.058318182826042175,0.47293373942375183,0.47347357869148254,
Torch,256,32,torch.float32,0.10212307423353195,0.5248724222183228,0.5237898230552673,
Triton,256,64,torch.bfloat16,0.0587707944214344,0.4926999509334564,0.49052542448043823,
Torch,256,64,torch.bfloat16,0.10324820876121521,0.5424767136573792,0.5415199995040894,
Triton,256,64,torch.float32,0.05864507704973221,0.47363564372062683,0.47395187616348267,
Torch,256,64,torch.float32,0.10307928919792175,0.5240291953086853,0.5235258340835571,
Triton,256,128,torch.bfloat16,0.058994974941015244,0.4935743808746338,0.4984065294265747,
Torch,256,128,torch.bfloat16,0.10289476811885834,0.54250568151474,0.5496793389320374,
Triton,256,128,torch.float32,0.05841786414384842,0.47292909026145935,0.4733418822288513,
Torch,256,128,torch.float32,0.10247516632080078,0.5246840119361877,0.5245683789253235,
Triton,512,16,torch.bfloat16,0.05924782529473305,0.4968893826007843,0.495805948972702,
Torch,512,16,torch.bfloat16,0.10294393450021744,0.5471475124359131,0.5515807867050171,
Triton,512,16,torch.float32,0.059080690145492554,0.4745587408542633,0.47512173652648926,
Torch,512,16,torch.float32,0.105303555727005,0.5258057117462158,0.5247973203659058,
Triton,512,32,torch.bfloat16,0.059126581996679306,0.500711977481842,0.49812039732933044,
Torch,512,32,torch.bfloat16,0.10458824038505554,0.5484300851821899,0.5481333136558533,
Triton,512,32,torch.float32,0.05962482467293739,0.4752061665058136,0.4744332730770111,
Torch,512,32,torch.float32,0.1043521836400032,0.5273182392120361,0.5263749361038208,
Triton,512,64,torch.bfloat16,0.0595480315387249,0.5931226015090942,0.5932145118713379,
Torch,512,64,torch.bfloat16,0.1047632023692131,0.6426555514335632,0.6424593329429626,
